# OpenRGB detector identity index (name/bus/IDs only). Source revision 81bbe18a84c2e507006f19dd252e397e40a56bfe.
# OpenRGB is GPL-2.0-or-later (Adam Honse / contributors). Not a protocol dump.
# Regenerated by python3 scripts/agent-run.py fetch-openrgb-device-index
Name,Category,Type,RGBController,VID,PID,SVID,SPID
Gigabyte GeForce RTX 5070 Ti Gaming OC,GPU,I2C,GigabyteRGBFusion2BlackwellGamingLayoutGPUControllers,10de,2c05,1458,4181
MSI GeForce RTX 5070 Ti Gaming Trio OC Plus,GPU,I2C,MSIGPUv2Controllers,10de,2c05,1462,5315
MSI GeForce RTX 5070 Ti VANGUARD SOC,GPU,I2C,MSIGPUv2Controllers,10de,2c05,1462,
PNY GeForce RTX 5070Ti ARGB Epic-X,GPU,I2C,PNYARGBEpicXGPUSmallControllers,10de,2c05,196e,143b
PNY GeForce RTX 5070Ti ARGB Epic-X OC,GPU,I2C,PNYARGBEpicXGPUSmallControllers,10de,2c05,196e,143a
Palit GeForce RTX 5070 Ti GameRock,GPU,I2C,PalitGPUv2Controllers,10de,2c05,1569,f320
Palit GeForce RTX 5070 Ti GamingPro,GPU,I2C,PalitGPUv2Controllers,10de,2c05,1569,f322
Palit GeForce RTX 5070 Ti GamingPro-S,GPU,I2C,PalitGPUv2Controllers,10de,2c05,1569,f332
iGame GeForce RTX 5070 Ti Ultra W OC,GPU,I2C,ColorfulGPUControllers,10de,2c05,7377,1500
ASUS TUF GeForce RTX 5060 Ti Gaming OC,GPU,I2C,ENESMBusGPUControllers,10de,2d04,1043,8a08
Gigabyte GeForce RTX 5060 Ti Gaming OC,GPU,I2C,GigabyteRGBFusion2BlackwellSingleZoneGPUControllers,10de,2d04,1458,4191
PNY GeForce RTX 5060Ti ARGB Epic-X OC,GPU,I2C,PNYARGBEpicXGPUSmallControllers,10de,2d04,196e,143e
Palit GeForce RTX 5060 Ti White OC 16GB,GPU,I2C,PalitGPUv2Controllers,10de,2d04,1569,f330
iGame GeForce RTX 5060 Ti Ultra W DUO OC,GPU,I2C,ColorfulGPUControllers,10de,2d04,7377,1531
iGame GeForce RTX 5060 Ti Ultra W DUO OC,GPU,I2C,ColorfulGPUControllers,10de,2d04,7377,1530
ASUS TUF GeForce RTX 5060 Gaming OC,GPU,I2C,ENESMBusGPUControllers,10de,2d05,1043,8a1a
iGame GeForce RTX 5060 Ultra W OC,GPU,I2C,ColorfulGPUControllers,10de,2d05,7377,1500
iGame GeForce RTX 5060 Ultra W OC,GPU,I2C,ColorfulGPUControllers,10de,2d05,7377,1501
ASUS TUF GeForce RTX 5070 Gaming OC,GPU,I2C,ENESMBusGPUControllers,10de,2f04,1043,89f2
Gigabyte GeForce RTX 5070 Aero OC,GPU,I2C,GigabyteRGBFusion2BlackwellSingleZoneGPUControllers,10de,2f04,1458,4184
Gigabyte GeForce RTX 5070 Eagle OC,GPU,I2C,GigabyteRGBFusion2BlackwellSingleZoneGPUControllers,10de,2f04,1458,417d
Gigabyte GeForce RTX 5070 Eagle OC ICE,GPU,I2C,GigabyteRGBFusion2BlackwellSingleZoneGPUControllers,10de,2f04,1458,4185
Gigabyte GeForce RTX 5070 Gaming OC,GPU,I2C,GigabyteRGBFusion2BlackwellGamingLayoutGPUControllers,10de,2f04,1458,4174
MSI GeForce RTX 5070 Gaming Trio,GPU,I2C,MSIGPUv2Controllers,10de,2f04,1462,5322
PNY GeForce RTX 5070 ARGB Epic-X OC,GPU,I2C,PNYARGBEpicXGPUSmallControllers,10de,2f04,196e,1439
Palit GeForce RTX 5070 GamingPro,GPU,I2C,PalitGPUv2Controllers,10de,2f04,1569,f324
iGame GeForce RTX 5070 Ultra W OC-V,GPU,I2C,ColorfulGPUControllers,10de,2f04,7377,1500
iGame GeForce RTX 5070 Ultra W OC-V,GPU,I2C,ColorfulGPUControllers,10de,2f04,7377,1501
HID LampArray Device,USB,USB,HIDLampArrayControllers,0059,0001,,
Wooting One (Legacy),USB,USB,WootingControllers,03eb,ff01,,
Wooting Two (Legacy),USB,USB,WootingControllers,03eb,ff02,,
HyperX QuadCast 2 S,USB,USB,HyperXMicrophoneV2Controllers,03f0,02b5,,
HyperX Alloy Origins 65 (HP),USB,USB,HyperXAlloyOrigins60and65,03f0,038f,,
HyperX Pulsefire Surge (HP),USB,USB,HyperXPulsefireSurgeControllers,03f0,0490,,
HyperX Alloy Elite 2 (HP),USB,USB,HyperXAlloyElite2,03f0,058f,,
HyperX Alloy Origins (HP),USB,USB,HyperXAlloyOrigins,03f0,0591,,
HyperX Pulsefire Dart (Wireless),USB,USB,HyperXPulsefireDartControllers,03f0,068e,,
HyperX Pulsefire Dart (Wired),USB,USB,HyperXPulsefireDartControllers,03f0,088e,,
HyperX Eve 1800 (HP),USB,USB,HyperXEve1800,03f0,08c2,,
HyperX Alloy Origins Core (HP),USB,USB,HyperXAlloyOriginsCore,03f0,098f,,
HyperX Alloy Origins 60 (HP),USB,USB,HyperXAlloyOrigins60and65,03f0,0c8e,,
HyperX Origins 2 65 (HP),USB,USB,HyperXOrigins2_65,03f0,0cc2,,
HyperX Pulsefire Core (HP),USB,USB,HyperXPulsefireFPSProControllers,03f0,0d8f,,
HyperX Pulsefire Haste,USB,USB,HyperXPulsefireHasteControllers,03f0,0f8f,,
Gigabyte Aorus 17X Keyboard,Keyboard,USB,GigabyteAorusLaptopKeyboardControllers,0414,7a3f,,
Gigabyte Aorus 17X Backlight,USB,USB,GigabyteAorusLaptopBacklightControllers,0414,7a42,,
Gigabyte Aorus 15BKF Keyboard,Keyboard,USB,GigabyteAorusLaptopKeyboardControllers,0414,7a43,,
Gigabyte Aorus 15BKF Backlight,USB,USB,GigabyteAorusLaptopBacklightControllers,0414,7a44,,
Gigabyte Aorus Waterforce X II 360,USB,USB,GigabyteCastor3Controllers,0414,7a5e,,
ViewSonic Monitor XG270QG,USB,USB,ViewSonicQG,0416,5020,,
Lian Li GA II Trinity Performance,USB,USB,LianLiGAIITrinity,0416,7371,,
Lian Li GA II Trinity,USB,USB,LianLiGAIITrinity,0416,7373,,
JGINYUE Internal USB Controller,USB,USB,JGINYUEInternalUSBController,0416,a125,,
Winbond Gaming Keyboard,Keyboard,USB,WinbondGamingKeyboard,0416,b23c,,
Witmod Keyboard,Keyboard,USB,WitmodKeyboard,0416,c345,,
Creative SoundBlasterX G6,USB,USB,CreativeSoundBlasterXG6Device,041e,3256,,
LG 27GN950-B Monitor,USB,USB,LGMonitorControllers,043e,9a8a,,
Cherry Keyboard MX BOARD 3.0S FL NBL,Keyboard,USB,CherryKeyboards,046a,0077,,
Cherry Keyboard MX BOARD 3.0S FL RGB,Keyboard,USB,CherryKeyboards,046a,0079,,
Cherry Keyboard MX BOARD 3.0S FL RGB KOREAN,Keyboard,USB,CherryKeyboards,046a,0083,,
Cherry Keyboard MX 1.0 FL BL,Keyboard,USB,CherryKeyboards,046a,00ab,,
Cherry Keyboard MX BOARD 1.0 TKL RGB,Keyboard,USB,CherryKeyboards,046a,00ac,,
Cherry Keyboard MX BOARD 8.0 TKL RGB,Keyboard,USB,CherryKeyboards,046a,00b7,,
Cherry Keyboard MX BOARD 10.0 FL RGB,Keyboard,USB,CherryKeyboards,046a,00bb,,
Cherry Keyboard G80-3000 TKL NBL,Keyboard,USB,CherryKeyboards,046a,00c3,,
Cherry Keyboard MX BOARD 2.0S FL RGB (US),Keyboard,USB,CherryKeyboards,046a,00c4,,
Cherry Keyboard G80-3000 TKL RGB,Keyboard,USB,CherryKeyboards,046a,00c5,,
Cherry Keyboard MV BOARD 3.0 FL RGB,Keyboard,USB,CherryKeyboards,046a,00c7,,
Cherry Keyboard CCF MX 8.0 TKL BL,Keyboard,USB,CherryKeyboards,046a,00c9,,
Cherry Keyboard CCF MX 1.0 TKL BL,Keyboard,USB,CherryKeyboards,046a,00ca,,
Cherry Keyboard CCF MX 1.0 TKL NBL,Keyboard,USB,CherryKeyboards,046a,00cb,,
Cherry Keyboard G80-3000 TKL NBL KOREAN,Keyboard,USB,CherryKeyboards,046a,00cd,,
Cherry Keyboard MX BOARD 2.0S FL NBL,Keyboard,USB,CherryKeyboards,046a,00ce,,
Cherry Keyboard MX 1.0 FL NBL,Keyboard,USB,CherryKeyboards,046a,00d2,,
Cherry Keyboard MX 1.0 FL RGB,Keyboard,USB,CherryKeyboards,046a,00d3,,
Cherry Keyboard G80-3000N TKL RGB (EU),Keyboard,USB,CherryKeyboards,046a,00dd,,
Cherry Keyboard G80-3000N FL RGB (EU),Keyboard,USB,CherryKeyboards,046a,00de,,
Cherry Keyboard MX BOARD 10.0N FL RGB (EU),Keyboard,USB,CherryKeyboards,046a,00df,,
Cherry Keyboard G80-3000N TKL RGB (US),Keyboard,USB,CherryKeyboards,046a,00e0,,
Cherry Keyboard G80-3000N FL RGB (US),Keyboard,USB,CherryKeyboards,046a,00e1,,
Cherry Keyboard MX BOARD 10.0N FL RGB (US),Keyboard,USB,CherryKeyboards,046a,00e2,,
Cherry Keyboard MX BOARD 2.0S FL RGB (EU),Keyboard,USB,CherryKeyboards,046a,01a6,,
Logitech G933 Lightsync Headset,USB,USB,LogitechG933,046d,0a5b,,
Logitech G633 Gaming Headset,USB,USB,LogitechWired,046d,0a5c,,
Logitech G935 Gaming Headset,USB,USB,LogitechWired,046d,0a87,,
Logitech G635 Gaming Headset,USB,USB,LogitechWired,046d,0a89,,
Logitech G733 Gaming Headset,USB,USB,LogitechWired,046d,0ab5,,
Logitech G733 Gaming Headset,USB,USB,LogitechWired,046d,0afe,,
Logitech G733 Gaming Headset,USB,USB,LogitechWired,046d,0b1f,,
Logitech G900 Wireless Gaming Mouse,USB,USB,LogitechWireless,046d,4053,,
Logitech G403 Wireless Gaming Mouse,USB,USB,LogitechWireless,046d,405d,,
Logitech Powerplay Mat,USB,USB,LogitechWireless,046d,405f,,
Logitech G903 Wireless Gaming Mouse,USB,USB,LogitechWireless,046d,4067,,
Logitech G703 Wireless Gaming Mouse,USB,USB,LogitechWireless,046d,4070,,
Logitech G Pro Wireless Gaming Mouse,USB,USB,LogitechWireless,046d,4079,,
Logitech G502 Wireless Gaming Mouse,USB,USB,LogitechWireless,046d,407f,,
Logitech G703 HERO Wireless Gaming Mouse,USB,USB,LogitechWireless,046d,4086,,
Logitech G903 HERO Wireless Gaming Mouse,USB,USB,LogitechWireless,046d,4087,,
Logitech HID++ 2.0,USB,USB,LogitechHIDPP20,046d,any,,
Logitech G900 Wireless Gaming Mouse (wired),USB,USB,LogitechWired,046d,c081,,
Logitech G403 Wireless Gaming Mouse (wired),USB,USB,LogitechWired,046d,c082,,
Logitech G403 Prodigy Gaming Mouse,USB,USB,LogitechWired,046d,c083,,
Logitech G903 Wireless Gaming Mouse (wired),USB,USB,LogitechWired,046d,c086,,
Logitech G703 Wireless Gaming Mouse (wired),USB,USB,LogitechWired,046d,c087,,
Logitech G Pro Wireless Gaming Mouse (wired),USB,USB,LogitechWired,046d,c088,,
Logitech G502 HERO Gaming Mouse,USB,USB,LogitechWired,046d,c08b,,
Logitech G502 Wireless Gaming Mouse (wired),USB,USB,LogitechWired,046d,c08d,,
Logitech G703 HERO Wireless Gaming Mouse (wired),USB,USB,LogitechWired,046d,c090,,
Logitech G903 HERO Wireless Gaming Mouse (wired),USB,USB,LogitechWired,046d,c091,,
Logitech G203 Lightsync,USB,USB,LogitechMouseG203L,046d,c092,,
Logitech G203 Lightsync,USB,USB,LogitechMouseG203L,046d,c09d,,
Logitech G502 Proteus Spectrum Gaming Mouse,USB,USB,LogitechWired,046d,c332,,
Logitech G213,USB,USB,LogitechKeyboardG213,046d,c336,,
Logitech G915 Wireless RGB Mechanical Gaming Keyboard (Wired),Keyboard,USB,LogitechKeyboardG915Wired,046d,c33e,,
Logitech G915TKL Wireless RGB Mechanical Gaming Keyboard (Wired),Keyboard,USB,LogitechKeyboardG915Wired,046d,c343,,
Logitech Lightspeed Receiver,USB,USB,LogitechLightspeedReceiver,046d,c539,,
Logitech G Powerplay Mousepad,USB,USB,LogitechLightspeedReceiver,046d,c53a,,
Logitech G915 Wireless RGB Mechanical Gaming Keyboard,Keyboard,USB,LogitechKeyboardG915,046d,c541,,
Logitech G915TKL Wireless RGB Mechanical Gaming Keyboard,Keyboard,USB,LogitechKeyboardG915,046d,c545,,
Logitech G915 Wireless RGB Mechanical Gaming Keyboard (Receiver 2),Keyboard,USB,LogitechKeyboardG915Receiver2,046d,c547,,
EK Loop Connect,USB,USB,EKControllers,0483,5750,,
LightSalt Peripherals,USB,USB,LightSaltControllers,0483,5750,,
Ionico Light Bar,USB,USB,IonicoControllers,048d,6005,,
Clevo Keyboard (ITE 8291),Keyboard,USB,ClevoKeyboard8291,048d,600b,,
CLEVO Lightbar,USB,USB,ClevoLightbarControllers,048d,7001,,
Clevo Keyboard (ITE 829x),Keyboard,USB,ClevoKeyboard829x,048d,8910,,
Lenovo Legion 5 Gen 10,USB,USB,LenovoLegionUSBControllersGen7And8,048d,c195,,
Lenovo Legion 7 Gen 10,USB,USB,LenovoLegionUSBControllersGen7And8,048d,c197,,
Lenovo Legion Y740,USB,USB,LenovoLegionUSBControllers,048d,c935,,
Lenovo 5 2020,USB,USB,Lenovo4ZoneUSBControllers,048d,c955,,
Lenovo Legion 7 Gen 5,USB,USB,LenovoLegionUSBControllers,048d,c956,,
Lenovo Legion 7S Gen 5,USB,USB,LenovoLegionUSBControllers,048d,c957,,
Lenovo 5 2021 Ideapad,USB,USB,Lenovo4ZoneUSBControllers,048d,c963,,
Lenovo Ideapad 3-15ach6,USB,USB,Lenovo4ZoneUSBControllers,048d,c963,,
Lenovo 5 2021,USB,USB,Lenovo4ZoneUSBControllers,048d,c965,,
Lenovo Legion 7S Gen 6,USB,USB,LenovoLegionUSBControllers,048d,c967,,
Lenovo Legion 7 Gen 6,USB,USB,LenovoLegionUSBControllers,048d,c968,,
Lenovo 5 2022 Ideapad,USB,USB,Lenovo4ZoneUSBControllers,048d,c973,,
Lenovo 5 2022,USB,USB,Lenovo4ZoneUSBControllers,048d,c975,,
Lenovo Legion 7S Gen 7,USB,USB,LenovoLegionUSBControllersGen7And8,048d,c977,,
Lenovo Legion 7 Gen 7,USB,USB,LenovoLegionUSBControllersGen7And8,048d,c978,,
Lenovo 5 2023 Ideapad,USB,USB,Lenovo4ZoneUSBControllers,048d,c984,,
Lenovo 5 2023,USB,USB,Lenovo4ZoneUSBControllers,048d,c985,,
Lenovo Legion 7S Gen 8,USB,USB,LenovoLegionUSBControllersGen7And8,048d,c987,,
Lenovo Legion 7 Gen 8,USB,USB,LenovoLegionUSBControllersGen7And8,048d,c988,,
Lenovo Legion 7 Gen 9,USB,USB,LenovoLegionUSBControllersGen7And8,048d,c997,,
Lenovo Legion 7 Gen 9,USB,USB,LenovoLegionUSBControllersGen7And8,048d,c998,,
Ionico Keyboard,Keyboard,USB,IonicoControllers,048d,ce00,,
Luxafor Flag,USB,USB,LuxaforControllers,04d8,f372,,
Np93 ALPHA - Gaming Mouse,USB,USB,LexipMouseControllers,04d8,fd0a,,
Ducky Shine 7/Ducky One 2 RGB,USB,USB,DuckyKeyboardControllers,04d9,0348,,
Ducky One 2 RGB TKL,USB,USB,DuckyKeyboardControllers,04d9,0356,,
Gigabyte AORUS C300 GLASS,USB,USB,GigabyteAorusPCCaseControllers,04d9,7a30,,
Gigabyte Aorus M2,USB,USB,GigabyteAorusMouseControllers,04d9,7a40,,
Gigabyte AORUS ATC800,USB,USB,GigabyteAorusCPUCoolerControllers,04d9,7a42,,
Anne Pro 2,USB,USB,AnnePro2Controllers,04d9,8008,,
Anne Pro 2,USB,USB,AnnePro2Controllers,04d9,8009,,
Holtek USB Gaming Mouse,USB,USB,HoltekA070Controllers,04d9,a070,,
Holtek Mousemat,USB,USB,HoltekA1FAControllers,04d9,a1fa,,
Anne Pro 2,USB,USB,AnnePro2Controllers,04d9,a292,,
Anne Pro 2,USB,USB,AnnePro2Controllers,04d9,a293,,
Redragon M810 Taipan,USB,USB,RedragonMice,04d9,fa7e,,
Tecknet M008,USB,USB,TecknetControllers,04d9,fc05,,
Redragon M711 Cobra,USB,USB,RedragonMice,04d9,fc30,,
Redragon M602 Griffin,USB,USB,RedragonMice,04d9,fc38,,
Redragon M715 Dagger,USB,USB,RedragonMice,04d9,fc39,,
Redragon M716 Inquisitor,USB,USB,RedragonMice,04d9,fc3a,,
Redragon M921 Azzinoth,USB,USB,RedragonMice,04d9,fc40,,
Redragon M908 Impact,USB,USB,RedragonMice,04d9,fc4d,,
Redragon M801 Sniper,USB,USB,RedragonMice,04d9,fc58,,
Redragon M808 Storm,USB,USB,RedragonMice,04d9,fc5f,,
Redragon M711-FPS-1 Cobra FPS,USB,USB,RedragonMice,04d9,fc62,,
Redragon M987 Reaping,USB,USB,RedragonMice,04d9,fc69,,
Dell G Series LED Controller,USB,USB,AlienwareControllers,04f2,0550,,
Dell G Series LED Controller,USB,USB,AlienwareControllers,04f2,0551,,
Alienware AW3423DWF,USB,USB,AlienwareAW3423DWFControllers,04f2,100e,,
Alienware AW3225QF,USB,USB,AlienwareMonitorControllers,04f2,1013,,
Alienware AW510K,USB,USB,AlienwareAW510KControllers,04f2,1830,,
Alienware AW410K,USB,USB,AlienwareAW410KControllers,04f2,1968,,
ViewSonic Monitor XG270QC,USB,USB,ViewSonicQC,0543,a002,,
ViewSonic Monitor XG271QG,USB,USB,ViewSonicQG,0543,a004,,
Sony DualShock 4,USB,USB,SonyDS4Controllers,054c,05c4,,
Sony DualShock 4,USB,USB,SonyDS4Controllers,054c,09cc,,
Sony DualShock 4,USB,USB,SonyDS4Controllers,054c,0ba0,,
Sony DualSense,USB,USB,SonyDualSenseControllers,054c,0ce6,,
Sony DualSense Edge,USB,USB,SonyDualSenseControllers,054c,0df2,,
Keychron Gaming Keyboard 1,Keyboard,USB,KeychronKeyboardControllers,05ac,024f,,
Valkyrie VK99,USB,USB,ValkyrieKeyboardControllers,05ac,024f,,
Valkyrie VK99 Pro,USB,USB,ValkyrieKeyboardControllers,05ac,024f,,
VSG Mintaka,USB,USB,MintakaKeyboardControllers,05ac,0256,,
Cougar 700K EVO Gaming Keyboard,Keyboard,USB,Cougar700kEvo,060b,7010,,
MadCatz Cyborg Gaming Light,USB,USB,MadCatzCyborgControllers,06a3,0dc5,,
Logitech X56 Rhino Hotas Joystick,USB,USB,LogitechX56,0738,2221,,
Logitech X56 Rhino Hotas Throttle,USB,USB,LogitechX56,0738,a221,,
HyperX Alloy Elite RGB,USB,USB,HyperXAlloyElite,0951,16be,,
HyperX Pulsefire Surge,USB,USB,HyperXPulsefireSurgeControllers,0951,16d3,,
HyperX Pulsefire FPS Pro,USB,USB,HyperXPulsefireFPSProControllers,0951,16d7,,
HyperX Alloy FPS RGB,USB,USB,HyperXAlloyFPS,0951,16dc,,
HyperX Pulsefire Core,USB,USB,HyperXPulsefireFPSProControllers,0951,16de,,
HyperX Pulsefire Dart (Wireless),USB,USB,HyperXPulsefireDartControllers,0951,16e1,,
HyperX Pulsefire Dart (Wired),USB,USB,HyperXPulsefireDartControllers,0951,16e2,,
HyperX Pulsefire Raid,USB,USB,HyperXPulsefireRaidControllers,0951,16e4,,
HyperX Alloy Origins,USB,USB,HyperXAlloyOrigins,0951,16e5,,
HyperX Alloy Origins Core,USB,USB,HyperXAlloyOriginsCore,0951,16e6,,
HyperX Alloy Elite 2,USB,USB,HyperXAlloyElite2,0951,1711,,
HyperX Pulsefire Haste,USB,USB,HyperXPulsefireHasteControllers,0951,1727,,
HyperX Alloy Origins 60,USB,USB,HyperXAlloyOrigins60and65,0951,1734,,
Nvidia ESA - Dell XPS 730x,USB,USB,NvidiaESAControllers,0955,000a,,
Bloody W90 Max,USB,USB,BloodyMouseControllers,09da,3666,,
Bloody W60 Pro,USB,USB,BloodyMouseControllers,09da,37ea,,
Bloody W90 Pro,USB,USB,BloodyMouseControllers,09da,39b6,,
Bloody W70 Max,USB,USB,BloodyMouseControllers,09da,79ef,,
Bloody B820R,USB,USB,BloodyB820R,09da,fa10,,
Bloody MP 50RS,USB,USB,BloodyMouseControllers,09da,fa60,,
ASUS ROG Spatha Wired,USB,USB,AsusAuraUSBSpatha,0b05,181c,,
ASUS ROG Spatha Wireless,USB,USB,AsusAuraUSBSpatha,0b05,1824,,
ASUS Sagaris GK1100,USB,USB,AsusSagarisKeyboard,0b05,1835,,
ASUS ROG Gladius II,USB,USB,AsusAuraUSBMice,0b05,1845,,
ASUS ROG Pugio,USB,USB,AsusAuraUSBMice,0b05,1846,,
ASUS ROG Strix Impact,USB,USB,AsusAuraUSBMice,0b05,1847,,
ASUS ROG Claymore,USB,USB,AsusAuraTUFUSBKeyboard,0b05,184d,,
ASUS ROG Strix Evolve,USB,USB,AsusAuraUSBStrixEvolve,0b05,185b,,
ASUS ROG Strix SCAR 17,USB,USB,AsusAuraCoreLaptopControllers,0b05,1866,,
ASUS ROG Strix Flare,USB,USB,AsusAuraTUFUSBKeyboard,0b05,1875,,
ASUS ROG Gladius II Origin,USB,USB,AsusAuraUSBMice,0b05,1877,,
ASUS ROG Balteus Qi,USB,USB,AsusAuraUSBMousemats,0b05,1890,,
ASUS ROG Balteus,USB,USB,AsusAuraUSBMousemats,0b05,1891,,
ASUS TUF Gaming M5,USB,USB,AsusAuraUSBMice,0b05,1898,,
ASUS TUF Gaming K5,USB,USB,AsusAuraTUFUSBKeyboard,0b05,1899,,
ASUS ROG Gladius II Wireless,USB,USB,AsusAuraUSBMice,0b05,189e,,
ASUS ROG Strix Impact II Gundam,USB,USB,AsusAuraUSBMice,0b05,189e,,
ASUS ROG Gladius II Wireless,USB,USB,AsusAuraUSBMice,0b05,18a0,,
ASUS TUF Gaming K7,USB,USB,AsusAuraTUFUSBKeyboard,0b05,18aa,,
ASUS ROG Strix Flare CoD Black Ops 4 Edition,USB,USB,AsusAuraTUFUSBKeyboard,0b05,18af,,
ASUS ROG Gladius II Origin COD,USB,USB,AsusAuraUSBMice,0b05,18b1,,
ASUS ROG Gladius II Origin PNK LTD,USB,USB,AsusAuraUSBMice,0b05,18cd,,
ASUS ROG Strix Flare PNK LTD,USB,USB,AsusAuraTUFUSBKeyboard,0b05,18cf,,
ASUS ROG Gladius II Core,USB,USB,AsusAuraUSBMice,0b05,18dd,,
ASUS ROG Strix Impact II,USB,USB,AsusAuraUSBMice,0b05,18e1,,
Asus ROG Chakram (Wired),USB,USB,AsusAuraUSBMice,0b05,18e3,,
ASUS ROG Chakram (Wireless),USB,USB,AsusAuraUSBMice,0b05,18e5,,
ASUS ROG Strix Scope,USB,USB,AsusAuraTUFUSBKeyboard,0b05,18f8,,
ASUS ROG Pugio II (Wired),USB,USB,AsusAuraUSBMice,0b05,1906,,
ASUS ROG Pugio II (Wireless),USB,USB,AsusAuraUSBMice,0b05,1908,,
ASUS ROG Strix Scope TKL,USB,USB,AsusAuraUSBKeyboards,0b05,190c,,
ASUS TUF Gaming M3,USB,USB,AsusAuraUSBMice,0b05,1910,,
ASUS ROG Strix XG279Q,USB,USB,AsusAuraUSBMonitor,0b05,1919,,
ASUS ROG Strix XG27W,USB,USB,AsusAuraUSBMonitor,0b05,1933,,
ASUS ROG Falchion (Wired),USB,USB,AsusAuraTUFUSBKeyboard,0b05,193c,,
ASUS ROG Falchion (Wireless),USB,USB,AsusAuraTUFUSBKeyboard,0b05,193e,,
ASUS TUF Gaming K1,USB,USB,AsusAuraTUFUSBKeyboard,0b05,1945,,
ASUS ROG Strix Impact II Wireless USB,USB,USB,AsusAuraUSBMice,0b05,1947,,
ASUS ROG Strix Impact II Wireless 2.4 Ghz,USB,USB,AsusAuraUSBMice,0b05,1949,,
ASUS TUF Gaming K3,USB,USB,AsusAuraTUFUSBKeyboard,0b05,194b,,
ASUS ROG Strix Scope RX,USB,USB,AsusAuraTUFUSBKeyboard,0b05,1951,,
ASUS ROG Strix Scope TKL PNK LTD,USB,USB,AsusAuraUSBKeyboards,0b05,1954,,
ASUS ROG Strix Impact II Electro Punk,USB,USB,AsusAuraUSBMice,0b05,1956,,
Asus ROG Chakram Core,USB,USB,AsusAuraUSBMice,0b05,1958,,
ASUS ROG Keris,USB,USB,AsusAuraUSBMice,0b05,195c,,
ASUS ROG Keris Wireless USB,USB,USB,AsusAuraUSBMice,0b05,195e,,
ASUS ROG Keris Wireless 2.4Ghz,USB,USB,AsusAuraUSBMice,0b05,1960,,
ASUS ROG Keris Wireless Bluetooth,USB,USB,AsusAuraUSBMice,0b05,1962,,
ASUS ROG Strix XG32VC,USB,USB,AsusAuraUSBMonitor,0b05,1968,,
Asus ROG Spatha X USB,USB,USB,AsusAuraUSBMice,0b05,1977,,
Asus ROG Spatha X 2.4GHz,USB,USB,AsusAuraUSBMice,0b05,1979,,
Asus ROG Spatha X Dock,USB,USB,AsusAuraUSBMice,0b05,1979,,
ASUS ROG Gladius III,USB,USB,AsusAuraUSBMice,0b05,197b,,
ASUS ROG Gladius III Wireless USB,USB,USB,AsusAuraUSBMice,0b05,197d,,
ASUS ROG Gladius III Wireless 2.4Ghz,USB,USB,AsusAuraUSBMice,0b05,197f,,
ASUS ROG Gladius III Wireless Bluetooth,USB,USB,AsusAuraUSBMice,0b05,1981,,
ASUS ROG Strix XG27AQ,USB,USB,AsusAuraUSBMonitor,0b05,198c,,
ASUS Aura Motherboard,USB,USB,AsusAuraUSBMotherboards,0b05,19af,,
ASUS ROG Strix SCAR 15,USB,USB,AsusAuraCoreLaptopControllers,0b05,19b6,,
ASUS ROG PG32UQ,USB,USB,AsusAuraUSBMonitor,0b05,19b9,,
ASUS ROG Strix XG27AQM,USB,USB,AsusAuraUSBMonitor,0b05,19bb,,
ASUS ROG Strix Impact II Moonlight White,USB,USB,AsusAuraUSBMice,0b05,19d2,,
ASUS ROG Strix Scope NX Wireless Deluxe USB,USB,USB,AsusAuraTUFUSBKeyboard,0b05,19f6,,
ASUS ROG Strix Scope NX Wireless Deluxe 2.4GHz,USB,USB,AsusAuraTUFUSBKeyboard,0b05,19f8,,
ASUS ROG Strix Flare II Animate,USB,USB,AsusAuraTUFUSBKeyboard,0b05,19fc,,
ASUS ROG Strix Flare II,USB,USB,AsusAuraTUFUSBKeyboard,0b05,19fe,,
ASUS ROG Strix Scope RX TKL Wireless Deluxe,USB,USB,AsusAuraUSBKeyboards,0b05,1a05,,
Asus ROG Chakram X USB,USB,USB,AsusAuraUSBMice,0b05,1a18,,
Asus ROG Chakram X 2.4GHz,USB,USB,AsusAuraUSBMice,0b05,1a1a,,
ASUS ROG Keris Wireless AimPoint USB,USB,USB,AsusAuraUSBMice,0b05,1a66,,
ASUS ROG Keris Wireless AimPoint 2.4Ghz,USB,USB,AsusAuraUSBMice,0b05,1a68,,
ASUS ROG Gladius III Wireless AimPoint USB,USB,USB,AsusAuraUSBMice,0b05,1a70,,
ASUS ROG Gladius III Wireless AimPoint 2.4Ghz,USB,USB,AsusAuraUSBMice,0b05,1a72,,
ASUS ROG Azoth USB,USB,USB,AsusAuraTUFUSBKeyboard,0b05,1a83,,
ASUS ROG Azoth 2.4GHz,USB,USB,AsusAuraTUFUSBKeyboard,0b05,1a85,,
ASUS ROG Strix Impact III,USB,USB,AsusAuraUSBMice,0b05,1a88,,
ASUS TUF Gaming M3 Gen II,USB,USB,AsusAuraUSBMice,0b05,1a9b,,
ASUS ROG Strix Scope II 96 Wireless USB,USB,USB,AsusAuraTUFUSBKeyboard,0b05,1aae,,
ASUS ROG Strix Scope II,USB,USB,AsusAuraTUFUSBKeyboard,0b05,1ab3,,
ASUS ROG Strix Scope II RX,USB,USB,AsusAuraTUFUSBKeyboard,0b05,1ab5,,
ASUS ROG Ally,USB,USB,AsusROGAlly,0b05,1abe,,
